Username,Email,Calculated Final Grade Numerator,Calculated Final Grade Denominator,Calculated Final Grade Scheme Symbol,End-of-Line Indicator
cwimlett1z,chobbert1z@about.me,87.773214286,90,97.53 %,#
arobart20,ilamberto20@fotki.com,87.344786096,90,97.05 %,#
clovelock21,vbatkin21@youku.com,88.022210744,90,97.8 %,#
ebudgen22,lcraister22@gizmodo.com,56.872778925,90,63.19 %,#
dbyfford23,gcasol23@cpanel.net,89.636363636,90,99.6 %,#
rbannell24,jlilliman24@symantec.com,78.656456044,90,87.4 %,#
tmassei25,lshapland25@netlog.com,61.244166667,90,68.05 %,#
mpakenham26,ltinghill26@hud.gov,72.366934202,90,80.41 %,#
tberthouloume27,kwolseley27@state.tx.us,87.408928571,90,97.12 %,#
dbrighouse28,aockendon28@squarespace.com,88.901188016,90,98.78 %,#
hhowat29,pbeedham29@java.com,78.282762692,90,86.98 %,#
pcassell2a,ycockshtt2a@harvard.edu,28.958333333,90,32.18 %,#
dberesford2b,jbucham2b@linkedin.com,87.1,90,96.78 %,#
jheinemann2c,rclaque2c@howstuffworks.com,77.46917561,90,86.08 %,#
bmcneil2d,hcawson2d@ycombinator.com,88.252884615,90,98.06 %,#
lkemetz2e,dmcindoe2e@hugedomains.com,54.766911764,90,60.85 %,#
btinkham2f,calcoran2f@vk.com,89.555268595,90,99.51 %,#
tchiplin2g,mcrauford2g@weibo.com,88.371428572,90,98.19 %,#
sgorring2h,hgurrado2h@guardian.co.uk,72.187153622,90,80.21 %,#
bdonwell2i,tdyshart2i@washingtonpost.com,90,90,100 %,#
sdibaudi2j,gpeople2j@ftc.gov,89.47107438,90,99.41 %,#
scalifornia2k,blocket2k@bing.com,90,90,100 %,#
dkilbane2l,theasman2l@hostgator.com,85.068886795,90,94.52 %,#
mmcelree2m,fharvard2m@e-recht24.de,26.041666667,90,28.94 %,#
mkeers2n,gabade2n@timesonline.co.uk,88.695764463,90,98.55 %,#
jklimontovich2o,gsixsmith2o@hao123.com,81.906523457,90,91.01 %,#
qraymen2p,jworkman2p@washington.edu,73.24100632,90,81.38 %,#
rjendrach2q,ckeddy2q@storify.com,47.7875,90,53.1 %,#
emcgrayle2r,dfleming2r@disqus.com,86.708333333,90,96.34 %,#
nullock2s,wgraffham2s@rediff.com,89.074380165,90,98.97 %,#
bjardine2t,shussey2t@wikia.com,65.1875,90,72.43 %,#
amallia2u,olebrun2u@sciencedaily.com,84.813016529,90,94.24 %,#
dpowrie2v,enewcomen2v@java.com,83.178202479,90,92.42 %,#
rbelden2w,ideadman2w@dion.ne.jp,89.73553719,90,99.71 %,#
htuohy2x,whagwood2x@yandex.ru,90,90,100 %,#
thazelgreave2y,dcourt2y@delicious.com,89.900826446,90,99.89 %,#
ccooney2z,ntwelves2z@cornell.edu,89.107438017,90,99.01 %,#
jtest30,banstiss30@stanford.edu,88.549038462,90,98.39 %,#
hspray31,ctorrance31@jalbum.net,84.01875,90,93.35 %,#
frarity32,svalenta32@ihg.com,89.106161348,90,99.01 %,#
ntheyer33,tstivey33@is.gd,77.989705882,90,86.66 %,#
tricco34,tbukowski34@list-manage.com,49.346323529,90,54.83 %,#
aglasser35,kcahey35@weibo.com,62.173698445,90,69.08 %,#
amcausland36,bivasyushkin36@noaa.gov,60.190686275,90,66.88 %,#
jcraighill37,tsimonin37@meetup.com,88.807076446,90,98.67 %,#
meydel38,zdaniele38@fda.gov,85.688016529,90,95.21 %,#
ehaddacks39,mkmiec39@vimeo.com,88.476348039,90,98.31 %,#
dsherrell3a,fastley3a@harvard.edu,89.092458678,90,98.99 %,#
nhannigane3b,mmatijasevic3b@skype.com,88.75,90,98.61 %,#
mcausley3c,mfinnimore3c@discuz.net,83.672985537,90,92.97 %,#
jloosemore3d,rbodicum3d@berkeley.edu,86.014721074,90,95.57 %,#
amorgan3e,kcollecott3e@privacy.gov.au,87.586968713,90,97.32 %,#
tadamczewski3f,mbrea3f@vistaprint.com,45.293382961,90,50.33 %,#
ilehr3g,tcaff3g@cargocollective.com,88.106372549,90,97.9 %,#
llieb3h,afeehery3h@comcast.net,88.9,90,98.78 %,#
astrathman3i,vscandrite3i@uiuc.edu,89.867768595,90,99.85 %,#
bscotchforth3j,greidie3j@hibu.com,79.986429613,90,88.87 %,#
mkreber3k,ebrommage3k@digg.com,89.858156028,90,99.84 %,#
kchoat3l,tgarrat3l@latimes.com,89.866666667,90,99.85 %,#
